  Epoch    Dlat    DLon    DHoriz  Dheight 
  496245  -0.070   1.781   1.782  12.128  
  496246  -0.047   1.688   1.688  11.896  
  496247  -0.008   1.746   1.746  11.772  
  496248  -0.071   1.782   1.783  11.810  
  496249  -0.013   1.725   1.725  11.737  
  496250  -0.045   1.709   1.710  11.540  
  496251   0.088   1.422   1.425  10.885  
  496252   0.154   1.798   1.804  11.310  
  496253   0.180   1.834   1.843  11.406  
  496254   0.211   1.798   1.811  11.494  
  496255   0.689   0.769   1.032   9.204  
  496256   0.514   1.168   1.276  10.194  
  496257   0.161   1.383   1.392  11.082  
  496258   0.179   1.359   1.370  10.934  
  496259   0.133   1.366   1.373  10.735  
  496260   0.139   1.446   1.453  10.568  
  496261   0.049   1.637   1.638  10.830  
  496262  -0.259   1.891   1.908  11.474  
  496263  -0.288   2.007   2.027  11.662  
  496264  -0.486   2.401   2.450  12.639  
  496265  -0.478   2.288   2.338  12.301  
  496266  -0.304   2.029   2.052  11.340  
  496267  -0.213   1.703   1.716  10.684  
  496268  -0.114   1.614   1.618  10.535  
  496269  -0.268   1.661   1.682  10.719  
  496270  -0.366   1.550   1.593  10.892  
  496271  -0.331   1.752   1.783  11.763  
  496272  -0.295   1.898   1.920  11.885  
  496273  -0.254   2.020   2.036  11.985  
  496274  -0.399   2.107   2.144  12.673  
  496275  -0.496   2.124   2.181  12.591  
  496276  -0.429   2.195   2.237  12.536  
  496277  -0.306   2.012   2.035  12.432  
  496278  -0.082   1.804   1.806  12.180  
  496279  -0.122   1.728   1.733  12.137  
  496280  -0.051   1.777   1.777  12.193  
  496281   0.060   1.612   1.614  11.805  
  496282   0.183   1.073   1.089  10.630  
  496283   0.247   1.046   1.074  10.249  
  496284   0.114   1.199   1.205  10.615  
  496285  -0.132   1.580   1.586  11.509  
  496286  -0.355   1.628   1.667  12.066  
  496287  -0.420   1.699   1.750  12.227  
  496288  -0.519   1.580   1.663  12.146  
  496289  -0.612   1.789   1.890  12.932  
  496290  -0.528   1.930   2.000  13.141  
  496291  -0.699   2.033   2.150  13.292  
  496292  -0.717   2.161   2.276  13.682  
  496293  -0.606   2.106   2.192  13.406  
  496294  -0.591   1.992   2.077  12.933  
  496295  -0.514   1.887   1.956  12.831  
  496296  -0.516   1.917   1.985  12.695  
  496297  -0.516   1.897   1.966  12.526  
  496298  -0.432   1.992   2.039  12.604  
  496299  -0.579   2.052   2.132  12.688  
  496300  -0.441   2.102   2.148  12.648  
  496301  -0.485   2.182   2.235  12.849  
  496302  -0.566   2.181   2.254  12.827  
  496303  -0.611   2.133   2.219  13.154  
  496304  -0.721   2.048   2.171  13.131  
  496305  -0.763   2.171   2.301  13.375  
  496306  -0.780   2.016   2.161  13.077  
  496307  -0.659   1.966   2.074  12.915  
  496308  -0.740   2.038   2.168  12.894  
  496309  -0.752   2.015   2.150  12.873  
  496310  -0.768   2.115   2.251  12.880  
  496311  -0.753   2.096   2.227  12.607  
  496312  -0.638   2.059   2.155  12.414  
  496313  -0.424   1.921   1.967  11.855  
