  Epoch    Dlat    DLon    DHoriz  Dheight 
  496022   0.133  -0.500   0.517  -0.287  
  496023   0.130  -0.504   0.520  -0.284  
  496024   0.133  -0.503   0.520  -0.283  
  496025   0.132  -0.503   0.520  -0.292  
  496026   0.134  -0.501   0.519  -0.295  
  496027   0.135  -0.498   0.516  -0.290  
  496028   0.136  -0.498   0.517  -0.295  
  496029   0.138  -0.502   0.521  -0.299  
  496030   0.132  -0.502   0.520  -0.309  
  496031   0.134  -0.499   0.517  -0.298  
  496032   0.129  -0.504   0.520  -0.289  
  496033   0.133  -0.508   0.525  -0.294  
  496034   0.132  -0.507   0.524  -0.291  
  496035   0.131  -0.503   0.519  -0.292  
  496036   0.128  -0.507   0.523  -0.292  
  496037   0.129  -0.498   0.514  -0.289  
  496038   0.137  -0.495   0.514  -0.295  
  496039   0.133  -0.492   0.509  -0.291  
  496040   0.140  -0.499   0.518  -0.294  
  496041   0.143  -0.498   0.518  -0.290  
  496042   0.144  -0.499   0.520  -0.283  
  496043   0.129  -0.499   0.516  -0.277  
  496044   0.138  -0.501   0.519  -0.289  
  496045   0.143  -0.495   0.515  -0.297  
  496046   0.136  -0.495   0.513  -0.295  
  496047   0.146  -0.487   0.508  -0.297  
  496048   0.147  -0.490   0.511  -0.299  
  496049   0.141  -0.493   0.512  -0.302  
  496050   0.136  -0.500   0.518  -0.290  
  496051   0.130  -0.501   0.517  -0.292  
  496052   0.133  -0.494   0.511  -0.296  
  496053   0.134  -0.499   0.517  -0.301  
  496054   0.125  -0.496   0.511  -0.287  
  496055   0.127  -0.499   0.515  -0.284  
  496056   0.137  -0.495   0.513  -0.302  
  496057   0.139  -0.498   0.517  -0.298  
  496058   0.135  -0.500   0.518  -0.295  
  496059   0.138  -0.499   0.517  -0.303  
  496060   0.134  -0.501   0.519  -0.298  
  496061   0.134  -0.505   0.522  -0.302  
  496062   0.131  -0.508   0.525  -0.294  
  496063   0.125  -0.505   0.521  -0.294  
  496064   0.131  -0.507   0.524  -0.288  
  496065   0.129  -0.504   0.520  -0.290  
  496066   0.135  -0.505   0.523  -0.297  
  496067   0.130  -0.504   0.521  -0.297  
  496068   0.131  -0.506   0.523  -0.294  
  496069   0.131  -0.505   0.522  -0.295  
  496070   0.132  -0.502   0.519  -0.295  
  496071   0.132  -0.506   0.523  -0.304  
  496072   0.137  -0.505   0.523  -0.305  
  496073   0.141  -0.507   0.526  -0.308  
  496074   0.145  -0.499   0.520  -0.308  
  496075   0.139  -0.495   0.514  -0.306  
  496076   0.132  -0.495   0.513  -0.290  
  496077   0.132  -0.497   0.514  -0.283  
  496078   0.141  -0.495   0.515  -0.281  
  496079   0.140  -0.497   0.516  -0.286  
  496080   0.135  -0.496   0.514  -0.289  
  496081   0.138  -0.505   0.524  -0.296  
  496082   0.135  -0.503   0.521  -0.291  
  496083   0.137  -0.500   0.518  -0.293  
  496084   0.135  -0.503   0.521  -0.285  
  496085   0.137  -0.499   0.517  -0.279  
  496086   0.134  -0.500   0.518  -0.272  
  496087   0.133  -0.499   0.516  -0.270  
  496088   0.136  -0.497   0.515  -0.276  
  496089   0.122  -0.499   0.514  -0.272  
  496090   0.127  -0.497   0.513  -0.279  
  496091   0.134  -0.494   0.512  -0.288  
  496092   0.128  -0.501   0.517  -0.261  
  496093   0.128  -0.506   0.522  -0.266  
  496094   0.139  -0.503   0.522  -0.273  
  496095   0.141  -0.506   0.525  -0.267  
  496096   0.144  -0.497   0.518  -0.273  
  496097   0.131  -0.500   0.517  -0.264  
