Epoch   v_north   v_east   v_up
  496538          -0.003          -0.016          -0.003
  496539          -0.001          -0.002           0.004
  496540          -0.007          -0.002          -0.003
  496541          -0.013          -0.005           0.013
  496542          -0.016          -0.001           0.017
  496543          -0.007           0.007           0.012
  496544           0.001           0.009           0.011
  496545          -0.009           0.014           0.017
  496546          -0.013           0.017           0.023
  496547          -0.004           0.006           0.004
  496548          -0.004           0.007          -0.007
  496549          -0.001           0.013           0.014
  496550          -0.011           0.016           0.031
  496551          -0.011           0.024           0.048
  496552           0.000           0.004           0.009
  496553           0.007          -0.011          -0.025
  496554          -0.002          -0.009          -0.002
  496555          -0.001          -0.009           0.002
  496556           0.003          -0.015          -0.007
  496557           0.010          -0.016          -0.010
  496558           0.009          -0.006          -0.015
  496559           0.007          -0.009          -0.013
  496560          -0.008           0.014           0.022
  496561          -0.013           0.010           0.022
  496562          -0.006           0.003           0.008
  496563          -0.003           0.002           0.005
  496564          -0.008           0.004           0.017
  496565           0.003           0.005           0.001
  496566          -0.003           0.012           0.010
  496567          -0.010           0.016           0.021
  496568          -0.002           0.008           0.008
  496569           0.008          -0.001          -0.022
  496570           0.003          -0.016          -0.026
  496571          -0.007          -0.005           0.008
  496572          -0.006           0.002           0.017
  496573          -0.001           0.015           0.026
  496574           0.001           0.014           0.019
  496575           0.000           0.009           0.006
  496576          -0.007           0.013           0.038
  496577           0.008           0.007           0.009
  496578           0.006           0.011           0.001
  496579           0.022           0.027          -0.046
  496580           0.009           0.007          -0.011
  496581          -0.008          -0.010           0.008
  496582          -0.010          -0.010           0.002
  496583          -0.004          -0.010           0.009
  496584          -0.003          -0.002          -0.006
  496585           0.011           0.012          -0.019
  496586           0.012           0.005          -0.011
  496587           0.009           0.005          -0.008
  496588          -0.007           0.005           0.009
  496589          -0.014           0.003           0.012
  496590           0.000           0.008           0.010
  496591           0.011          -0.009           0.014
  496592           0.000           0.002          -0.005
  496593          -0.002           0.006          -0.003
  496594          -0.014           0.011          -0.005
  496595          -0.019           0.010          -0.021
  496596          -0.011           0.020          -0.002
  496597          -0.009           0.013           0.001
  496598          -0.004           0.011           0.000
  496599          -0.008           0.001           0.004
  496600          -0.003           0.016           0.018
  496601          -0.004           0.015           0.021
  496602          -0.008           0.022           0.013
  496603           0.036           0.049          -0.049
  496604           0.017           0.018          -0.007
  496605           0.011           0.009           0.008
  496606           0.004           0.005           0.002
  496607          -0.008          -0.006          -0.005
  496608          -0.013          -0.005          -0.002
  496609          -0.011           0.010          -0.001
  496610          -0.004          -0.002          -0.005
  496611           0.001          -0.002          -0.003
  496612           0.000           0.003          -0.005
  496613          -0.003           0.011           0.003
  496614          -0.011           0.012           0.021
  496615          -0.004           0.006           0.002
  496616           0.008           0.013           0.003
  496617           0.009           0.008           0.017
  496618          -0.007           0.005           0.027
  496619          -0.016          -0.006           0.009
  496620          -0.002          -0.007           0.007
  496621           0.007           0.005          -0.002
  496622           0.000           0.010          -0.003
  496623          -0.010           0.007           0.004
  496624          -0.006           0.012          -0.013
  496625          -0.014           0.028           0.026
  496626           0.001           0.014           0.007
  496627           0.007           0.005          -0.003
  496628           0.004           0.003           0.008
  496629          -0.012           0.007           0.010
  496630          -0.004           0.006           0.001
  496631          -0.009           0.012           0.013
  496632          -0.010           0.006           0.014
  496633           0.009           0.004           0.007
  496634           0.003           0.006          -0.004
  496635           0.007           0.023           0.017
  496636           0.007           0.005          -0.006
  496637          -0.008           0.011           0.005
  496638          -0.010           0.002          -0.007
  496639           0.000           0.000          -0.012
  496640           0.000          -0.016          -0.024
  496641          -0.008           0.005           0.004
  496642          -0.004           0.005          -0.004
  496643          -0.009           0.012           0.012
  496644          -0.007           0.002           0.006
  496645          -0.012           0.009           0.015
  496646          -0.004           0.008           0.016
  496647           0.006           0.006           0.008
  496648           0.004           0.000          -0.012
  496649           0.001          -0.008          -0.015
  496650          -0.001          -0.007          -0.007
  496651           0.000          -0.009          -0.012
  496652           0.009          -0.009          -0.007
  496653          -0.002          -0.004          -0.006
  496654          -0.003           0.004           0.016
  496655          -0.001           0.002           0.005
  496656           0.001          -0.009          -0.011
  496657           0.003          -0.010          -0.018
  496658          -0.007          -0.005           0.007
  496659          -0.001           0.007           0.003
  496660          -0.004           0.005           0.009
  496661           0.004          -0.006          -0.016
  496662           0.002           0.000          -0.006
  496663           0.006          -0.005          -0.009
  496664           0.004          -0.003           0.001
  496665          -0.001          -0.007           0.003
  496666          -0.001          -0.010          -0.012
  496667           0.009          -0.016          -0.020
  496668           0.000          -0.012          -0.002
  496669           0.001          -0.009          -0.003
  496670          -0.010           0.000          -0.004
  496671           0.000          -0.003          -0.004
  496672           0.004           0.002           0.000
  496673           0.006           0.005          -0.002
  496674          -0.002           0.008           0.021
  496675           0.009          -0.005          -0.010
  496676           0.003          -0.011          -0.021
  496677           0.009          -0.002           0.002
  496678           0.000          -0.002          -0.004
  496679          -0.002          -0.009          -0.015
  496680          -0.008          -0.008           0.001
  496681           0.001           0.002           0.014
  496682          -0.006           0.000           0.008
  496683          -0.009           0.003           0.002
  496684          -0.004           0.000          -0.005
  496685          -0.008           0.000           0.011
  496686          -0.004           0.008           0.015
  496687           0.007          -0.002           0.003
  496688           0.008          -0.008           0.008
  496689           0.002           0.004           0.017
  496690          -0.004           0.000           0.005
  496691          -0.011           0.002           0.002
  496692          -0.007           0.005           0.022
  496693          -0.002           0.000           0.004
  496694           0.004          -0.003           0.003
  496695           0.013          -0.005          -0.005
  496696           0.010          -0.001           0.005
  496697           0.006           0.005           0.009
  496698           0.011          -0.008          -0.003
  496699           0.021          -0.022          -0.023
  496700           0.004          -0.009           0.008
  496701           0.006          -0.014          -0.005
  496702           0.002          -0.009          -0.007
  496703           0.004          -0.002           0.006
  496704          -0.007          -0.011          -0.012
  496705           0.002          -0.005          -0.010
  496706          -0.001          -0.003          -0.007
  496707          -0.001          -0.002          -0.009
  496708          -0.002           0.003          -0.001
  496709           0.003          -0.002          -0.003
  496710          -0.002           0.004           0.014
  496711           0.004           0.006           0.013
  496712          -0.006           0.005           0.012
  496713           0.000          -0.004          -0.003
  496714           0.001           0.000          -0.008
  496715          -0.010           0.003          -0.011
  496716          -0.009           0.003          -0.001
  496717           0.007          -0.012          -0.015
  496718           0.006          -0.005           0.006
  496719          -0.004           0.003           0.005
  496720           0.002           0.009           0.008
  496721           0.003          -0.003          -0.007
  496722           0.002           0.000          -0.010
  496723           0.003          -0.002           0.000
  496724           0.006           0.003           0.004
  496725          -0.002          -0.007          -0.005
  496726          -0.010          -0.014          -0.002
  496727          -0.009          -0.018          -0.018
  496728           0.000           0.001          -0.008
  496729           0.002          -0.005           0.003
  496730          -0.007           0.003           0.010
  496731          -0.003          -0.008          -0.016
