Epoch   v_north   v_east   v_up
  496572           0.001           0.008           0.014
  496573          -0.003          -0.009          -0.015
  496574          -0.004          -0.013           0.002
  496575           0.001          -0.010          -0.015
  496576           0.000          -0.009          -0.014
  496577          -0.004          -0.015          -0.022
  496578          -0.009          -0.009          -0.006
  496579          -0.006          -0.028           0.071
  496580          -0.027          -0.012          -0.010
  496581           0.004           0.015          -0.006
  496582           0.004          -0.002          -0.027
  496583           0.004           0.009          -0.008
  496584           0.005           0.002           0.003
  496585          -0.007          -0.004           0.039
  496586          -0.006           0.001           0.017
  496587          -0.009          -0.011          -0.015
  496588           0.011          -0.006          -0.004
  496589           0.011          -0.001           0.006
  496590           0.000          -0.004          -0.011
  496591          -0.004           0.010           0.001
  496592          -0.006          -0.006          -0.012
  496593           0.003           0.001           0.015
  496594           0.006          -0.019          -0.024
  496595           0.023          -0.018          -0.003
  496596           0.011          -0.016          -0.013
  496597           0.018          -0.012          -0.026
  496598           0.081          -0.021          -0.053
  496599          -0.071           0.013           0.042
  496600           0.012          -0.008           0.006
  496601           0.001          -0.015          -0.012
  496602           0.013          -0.021          -0.032
  496603          -0.078          -0.094           0.172
  496604          -0.014          -0.015          -0.017
  496605          -0.009           0.004           0.015
  496606          -0.011          -0.001          -0.009
  496607           0.008           0.016           0.012
  496608           0.022          -0.002          -0.001
  496609           0.020          -0.018          -0.012
  496610          -0.007           0.005          -0.011
  496611          -0.008           0.007           0.007
  496612           0.002           0.007           0.048
  496613           0.010          -0.025          -0.046
  496614           0.023          -0.020          -0.032
  496615           0.011          -0.009          -0.003
  496616          -0.006          -0.010           0.015
  496617          -0.013          -0.006          -0.005
  496618           0.005          -0.004          -0.030
  496619           0.013           0.014          -0.005
  496620           0.003           0.001          -0.019
  496621          -0.006          -0.006          -0.003
  496622           0.001          -0.005           0.010
  496623           0.027          -0.015           0.016
  496624          -0.018          -0.009          -0.011
  496625           0.015          -0.026          -0.031
  496626           0.007          -0.018          -0.029
  496627          -0.008          -0.006           0.004
  496628          -0.002          -0.003          -0.009
  496629           0.012          -0.009          -0.012
  496630           0.007          -0.015          -0.021
  496631           0.007          -0.010          -0.009
  496632           0.010          -0.001           0.001
  496633          -0.013           0.000           0.008
  496634          -0.004          -0.003           0.014
  496635          -0.010          -0.020          -0.008
  496636          -0.009          -0.005           0.002
  496637           0.004          -0.014           0.005
  496638           0.007           0.001           0.011
  496639           0.002          -0.003           0.011
  496640           0.003           0.015           0.022
  496641          -0.001          -0.005           0.001
  496642           0.008           0.000           0.008
  496643           0.009          -0.016          -0.017
  496644           0.008          -0.002          -0.019
  496645           0.008          -0.007          -0.009
  496646           0.006          -0.006          -0.018
  496647          -0.006          -0.006          -0.010
  496648          -0.007           0.001           0.013
  496649           0.001           0.010           0.008
  496650           0.001           0.004          -0.001
  496651           0.000           0.011           0.021
  496652          -0.009           0.008           0.006
  496653           0.004           0.001           0.005
  496654           0.007          -0.004          -0.008
  496655           0.002           0.002           0.003
  496656           0.002           0.008           0.015
  496657          -0.005           0.005           0.005
  496658           0.008           0.005          -0.013
  496659          -0.001          -0.006           0.003
  496660           0.005          -0.010          -0.018
  496661          -0.002           0.007           0.016
  496662           0.000           0.005           0.012
  496663          -0.013           0.003           0.004
  496664          -0.004          -0.002          -0.011
  496665           0.003           0.007           0.000
  496666           0.003           0.011           0.018
  496667          -0.013           0.015           0.016
  496668           0.003           0.010           0.003
  496669          -0.004           0.005          -0.011
  496670           0.009           0.006           0.015
  496671           0.008           0.004           0.005
